Fuel Type Code,Station Name,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,Latitude,Longitude
ELEC,Palm Springs Nissan,,1,1,33.78414,-116.471
ELEC,Cerritos Nissan,,1,1,33.861544,-118.100471
ELEC,Chico Nissan,,3,1,39.756332,-121.843715
ELEC,Puente Hills Nissan,,2,1,33.997621,-117.928216
ELEC,Lithia Nissan - Clovis,,1,,36.836818,-119.717629
ELEC,Nissan of Serramonte,,1,1,37.671267,-122.463541
ELEC,Autocom Nissan - Concord,,1,,37.980192,-122.050128
ELEC,Larry H Miller Nissan,,2,1,33.88309,-117.615292
ELEC,Orange Coast Nissan,,2,1,33.675397,-117.918684
ELEC,Hanlees Nissan,,1,1,38.55252,-121.691555
ELEC,Downey Nissan,,4,2,33.9473,-118.151166
ELEC,Nissan of Duarte,,1,,34.136553,-117.975944
ELEC,Mossy Nissan - El Cajon,,1,,32.795896,-116.976156
ELEC,Ross Nissan El Monte,,2,1,34.069536,-118.026911
ELEC,Nissan of Elk Grove,,4,2,38.402217,-121.385527
ELEC,Mossy Nissan - Escondido,,1,,33.116492,-117.106837
ELEC,McCrea Nissan,,1,,40.800562,-124.164405
ELEC,Future Nissan of Folsom,,3,1,38.634132,-121.204871
ELEC,Fontana Nissan,,2,1,34.135345,-117.445732
ELEC,Premier Nissan of Fremont,,2,1,37.489389,-121.9576
ELEC,Lithia Nissan - Fresno,,1,,36.818622,-119.789796
ELEC,Garden Grove Nissan,,2,1,33.766376,-117.968337
ELEC,Gardena Nissan,,1,,33.889201,-118.307028
ELEC,South County Nissan,,1,,36.996869,-121.558573
ELEC,Glendale Nissan,,1,1,34.137054,-118.25536
ELEC,Santa Barbara Nissan,,3,1,34.43427,-119.820934
ELEC,Hayward Nissan,,2,1,37.662305,-122.075178
ELEC,Pedder Nissan,,1,,33.741163,-117.031718
ELEC,Surf City Nissan,,2,1,33.71069,-117.989861
ELEC,Nissan of Irvine,,2,1,33.632505,-117.723298
ELEC,Torre Nissan,,2,1,33.70711,-116.283712
ELEC,Nissan of Downtown Los Angeles,,1,1,34.035168,-118.273229
ELEC,Universal City Nissan,,2,1,34.133446,-118.356601
ELEC,Razzari Nissan,,1,,37.305891,-120.502428
ELEC,Nissan of Mission Hills,,1,,34.269809,-118.466606
ELEC,Central Valley Nissan,,1,,37.705119,-120.99471
ELEC,Metro Nissan of Montclair,,1,1,34.082404,-117.694876
ELEC,Metro Nissan of Redlands,,3,1,34.065387,-117.212007
ELEC,Napa Nissan,,1,,38.292706,-122.277767
ELEC,Mossy Nissan,,1,,32.659001,-117.100836
ELEC,Mossy Nissan - Oceanside,,2,1,33.181953,-117.298334
ELEC,Stadium Nissan,,2,1,33.80857,-117.864434
ELEC,Team Nissan,,1,1,34.22771,-119.150217
ELEC,Antelope Valley Nissan,,2,2,34.591173,-118.138184
ELEC,North Bay Nissan,,4,1,38.267202,-122.665068
ELEC,Mossy Nissan - Poway,,1,1,32.956772,-117.025943
ELEC,Crown Nissan,,1,,40.571632,-122.36654
ELEC,Boardwalk Nissan,,3,1,37.495963,-122.227322
ELEC,Hanlees Hilltop Nissan,,1,1,37.985253,-122.32124
ELEC,Raceway Nissan,,1,,33.941878,-117.297603
ELEC,Riverside Nissan,,2,1,33.925469,-117.419673
ELEC,Future Nissan of Roseville,,1,1,38.752198,-121.256452
ELEC,Nissan of Sacramento,,1,1,38.631393,-121.396604
ELEC,MY Nissan,,2,1,36.720023,-121.662519
ELEC,Larry H Miller Nissan of San Bernardino,,1,1,34.074378,-117.298
